Gene,Day -4,Day -3,Day -2,Day -1,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 13
CASP7,2.18166,0.886864,1.05988,0.600698,0.624819,0.408051,0.0438115,-0.130736,0.00630061,-0.185922,-0.799088,-0.855679,-1.37569,-1.06248,-1.4025
CAV2,1.45134,0.751503,1.56444,1.36597,0.546829,0.054615,0.215534,0.00519579,-1.03367,0.118876,-0.536342,-1.33418,-1.14591,-1.29041,-0.733785
CBFB,1.69547,1.01282,1.50753,0.584929,0.301432,-0.127757,0.000565276,0.0571834,0.328994,-0.172232,-0.58237,-0.589735,-1.37296,-2.08661,-0.557267
CBR1,2.02832,1.51987,0.972447,0.537728,0.861782,-0.111087,-0.540186,-0.328415,-0.26426,-0.61487,-0.0751443,-1.10677,-1.39024,-1.22749,-0.261698
CCDC186,1.40628,1.59003,0.519506,0.372058,0.979229,0.646033,0.49824,0.417046,-0.339245,-0.533887,-0.511222,-1.0147,-1.35991,-1.63807,-1.03138
CCDC43,1.87343,1.06138,1.11425,0.593243,0.294998,0.129147,0.141056,0.351043,0.305216,-0.202994,-0.542474,-1.13654,-0.864383,-1.24494,-1.87244
CCDC59,1.99767,1.30559,0.878092,0.764441,0.713269,0.486761,-0.419205,-0.0875976,-0.340756,-0.957996,-0.192188,-1.63128,-0.51495,-1.09965,-0.902198
CCDC6,2.44754,0.916184,1.52137,-0.404814,0.0287766,-0.74631,-0.00985806,0.255064,0.144389,-0.29267,-0.405913,-0.823224,-1.45452,-0.983387,-0.19263
CCNA1,1.77029,1.70928,1.16864,0.725447,0.930891,0.234629,-0.487813,-0.828054,-0.790553,-0.797137,-0.512192,-0.450885,-0.984236,-1.05299,-0.635323
CCND2,1.21654,0.508237,1.37999,1.01556,-0.234388,-0.14038,0.359483,0.902933,0.566385,-0.25097,-0.481255,-0.712669,-2.03809,-1.69484,-0.396533
CCNT1,1.97672,1.38088,1.29447,0.532174,0.102932,0.285953,0.0284734,0.29314,-0.449603,-0.520175,-0.288235,-1.19352,-0.893709,-1.37177,-1.17772
CCR10,1.69047,0.213976,1.3657,0.790795,0.412896,-0.171519,0.261659,0.233337,-0.60847,-0.986709,-1.45124,-1.4153,-1.4733,0.647636,0.490066
CCRL2,1.47007,1.8346,1.30574,0.379821,0.897406,0.713675,-0.292585,-0.359781,-0.913187,-0.904251,-0.948436,-0.731408,-0.801085,-0.779618,-0.870964
CCT4,2.28975,0.990851,1.43343,0.280561,0.0202981,-0.526314,-0.131599,0.395459,0.355616,-0.331775,-0.653835,-0.625876,-1.31356,-1.2072,-0.975804
CCT6P3,2.39939,1.34241,0.296107,0.800124,0.502755,0.584479,-0.233314,-0.406052,-0.69485,-0.970232,-0.179217,-0.857959,-0.305117,-1.04446,-1.23406
CD164,2.2035,1.33629,0.606301,0.880491,0.776832,0.0857718,0.0999981,-0.27002,-0.256227,-0.579723,-0.47135,-1.15329,-0.999835,-1.0353,-1.22345
CD2AP,2.2418,1.34418,0.799204,0.464199,0.410808,-0.0179664,-0.644384,-0.438358,-0.884452,-0.868376,-0.77467,-0.479154,-0.829266,-1.26423,0.940665
CD38,1.61797,1.04899,0.994287,0.61331,0.385938,0.124219,0.0581642,0.622324,0.519505,0.0772832,-0.649539,-0.870025,-1.57935,-1.58893,-1.37413
CD68,2.00498,1.12244,1.31774,0.46126,0.454946,-0.0624267,0.414016,-0.199067,-0.274635,-0.305558,-0.506111,-0.780496,-0.927922,-0.744354,-1.97481
CD79A,1.83706,1.10038,1.28439,0.157478,-0.634019,-0.937227,-0.399571,0.716493,0.673876,0.689703,-0.263864,-0.75596,-1.52165,-0.925614,-1.02148
CD80,2.96247,1.23167,0.214967,0.326295,-0.273172,-0.377247,-1.50338,-0.311328,-0.0799747,-0.0774872,-0.321811,-0.492788,-0.549767,-0.234626,-0.513816
CDC37L1,1.61439,1.66782,1.27318,0.887477,0.0938998,0.312525,-0.342153,-0.161623,-0.060036,-0.119837,-0.481152,-1.29895,-1.03904,-1.47697,-0.869524
CDC5L,2.29493,0.707199,0.735874,0.591402,0.399581,0.175345,0.474056,0.189451,-0.235624,-0.391314,-0.268692,-0.876164,-0.715294,-0.999449,-2.0813
CDK17,1.73435,1.50863,0.783149,0.72515,0.96171,0.638743,-0.142409,-0.0871987,-0.560698,-0.421823,-0.551695,-1.16005,-0.823424,-1.34792,-1.25651
CDK5,2.02111,0.650526,1.61161,0.213884,0.375387,0.308694,0.268017,0.106329,0.0655157,-0.296427,-0.535911,-0.699524,-1.56125,-1.38243,-1.14552
CDKN2AIP,2.07881,1.77159,1.05287,0.626801,0.248716,0.184069,-0.708744,-0.109688,-0.222735,-0.539318,-0.721079,-1.05336,-0.724471,-0.658938,-1.22453
CEBPG,1.62435,1.52607,1.63608,0.369031,0.621172,0.115561,-0.528317,-0.400779,-0.11812,-0.744671,-0.124974,-1.23445,-0.633555,-1.62414,-0.483257
CEP120,0.728431,2.00285,1.22487,0.733209,0.367202,0.795277,0.00354763,0.0148662,-0.601346,-0.613343,-0.0605793,-0.86996,-1.17752,-1.78501,-0.762497
CEP162,1.73398,1.58583,0.84562,0.507388,0.732728,0.86601,0.0505947,0.017227,-0.823963,-0.650043,-0.982136,-1.19832,-0.59552,-1.34199,-0.747393
CEP41,2.17849,1.27572,0.684092,0.980007,-0.655473,-0.581511,-0.504566,0.348388,-0.557443,0.0891782,-1.19697,-0.458871,-1.41447,-0.826243,0.639659
CEP44,2.28027,1.27719,0.820846,0.000560278,0.623571,0.34253,-0.302734,-0.000209882,-0.594791,-0.269305,-0.304986,-0.508921,-0.190299,-1.7398,-1.43392
CES1P1,1.25864,0.9997,1.29482,0.849532,0.839458,0.56254,0.660551,0.155256,-0.323285,-0.777926,-1.02876,-1.01026,-1.47646,-1.53124,-0.47256
CFB,2.02516,0.398134,0.211996,1.69269,0.146001,0.414404,-0.463172,-0.134148,-0.166243,0.201674,0.0303008,-0.337982,-0.706529,-1.31245,-1.99983
CGRRF1,1.65171,1.73292,0.904146,1.03813,0.503599,0.554862,-0.399066,-0.0109316,-0.749399,-0.543657,-1.25866,-1.16463,-0.459167,-0.789283,-1.01057
CHAC1,1.91553,1.26104,0.7066,0.289257,0.109618,0.188896,-1.37539,0.701702,0.329815,0.0619518,-0.687139,-0.673803,-1.85276,-1.11162,0.136293
CHAMP1,1.93328,1.00307,1.54959,0.615794,0.473236,-0.262011,0.144775,0.12185,-0.241434,-0.231003,-0.642624,-0.786859,-1.79583,-0.877536,-1.00429
CHCHD4,1.26493,1.13707,0.958946,0.680866,-0.232194,0.417957,0.0252689,0.402725,0.806073,-0.600182,-0.327176,-0.081604,-1.74381,-2.22015,-0.488712
CLEC4C,2.02695,0.300432,1.13344,0.820418,0.832936,0.2909,0.234544,-0.771961,-1.01255,-0.812923,0.218524,0.00708667,-1.21026,-1.76996,-0.287579
CLN5,1.94767,1.98324,0.906637,0.339637,0.401355,0.207388,-0.579572,0.105309,-0.402964,-0.531782,-0.537718,-1.30679,-0.875568,-0.509297,-1.14755
CMAHP,1.87251,1.39158,0.905668,0.523293,0.424608,0.473482,-0.371237,-0.292982,-0.382773,-1.10868,-0.333245,-0.790346,-1.65268,-1.27167,0.612465
CMTR1,1.96831,1.49045,0.836583,0.74867,0.923694,0.61565,-0.420193,-0.321955,-0.649007,-0.907573,-0.62755,-0.860672,-1.12534,-1.04696,-0.624097
CNOT4,2.10331,1.66648,1.17393,0.563382,0.245252,0.0349446,-0.211726,-0.331251,-0.716699,-0.517106,-0.673745,-0.654651,-1.37867,-1.13839,-0.165065
CNP,1.19086,1.57212,0.902819,0.901284,1.22306,0.282184,-0.511384,0.0235266,0.298161,-0.80147,-0.443796,-0.905097,-0.886485,-1.60007,-1.24572
CNST,1.89069,1.28421,1.13852,0.880675,0.456179,0.440538,-0.132187,-0.0682367,-0.449179,-0.398424,-0.657449,-1.06552,-1.16471,-1.65769,-0.497414
COA6,2.20238,1.20014,1.48622,0.636846,0.27107,-0.231549,-0.409925,-0.15717,-0.581718,-0.885525,-0.789919,-1.2634,-0.0532249,-1.16774,-0.25648
COL6A4P2,-0.039975,1.33994,1.07625,1.41514,1.13392,0.359952,-1.04772,-0.490579,-0.785441,-0.382491,-0.768026,-0.150972,-0.861517,-1.78694,0.988455
COMMD7,2.07175,0.619571,1.54051,0.663541,0.0349791,-0.00831271,-0.188252,0.301947,-0.145766,-0.558424,-0.0261157,-0.804284,-0.285596,-1.33347,-1.88209
COX5A,2.23992,1.04224,1.07649,0.327306,0.245753,-0.193066,0.130107,0.481771,0.182154,-0.107561,-0.711395,-0.874391,-1.28768,-1.44147,-1.11018
COX8A,2.27388,1.31251,1.43764,0.220531,-0.0485466,-0.175146,0.283189,-0.104495,-0.204743,-0.501866,-0.348979,-0.898221,-1.11717,-1.32055,-0.808039
